;id;nome_escola;tipo_escola;logradouro_entrega;numero;bairro;subprefeitura;latitude;longitude;qt_material_didatico;ordem
107;568;VISCONDE DE PORTO SEGURO;EM ;RUA TEOFILO GUIMARAES;604;JARDIM SULACAP;GRANDE BANGU;-22,88908;-43,39248;362;37
6;055;SANTA CATARINA;EM ;RUA EDUARDO SANTOS;38;SANTA TERESA;CENTRO;-22,91554;-43,19159;92;38
103;689;MOACIR PADILHA;EM ;RUA GENERAL GOMES DE CASTRO;30;PADRE MIGUEL;GRANDE BANGU;-22,86877;-43,45065;571;39
126;497;PROFESSORA LEILA MEHL MENEZES DE MATTOS;EM ;AVENIDA MARIO PEREIRA DOS SANTOS;;PACIENCIA;ZONA OESTE;-22,87319;-43,62773;517;40
104;171;PADRE LEONEL FRANCA;EM ;AVENIDA CANAL;;REALENGO;GRANDE BANGU;-22,88346;-43,42945;235;41
90;206;HONDURAS;EM ;PRACA BARAO DA TAQUARA;12;PRACA SECA;JACAREPAGUA;-22,89693;-43,35267;392;42
105;477;PAULO MARANHAO;EM ;RUA DO GOVERNO;866;REALENGO;GRANDE BANGU;-22,89299;-43,44122;187;43
125;316;PROFESSORA FLAVIA DOS SANTOS SOARES;EM ;RUA EUDALDO GOMES DA SILVA CONJUNTO URUCANIA;;PACIENCIA;ZONA OESTE;-22,91403;-43,65344;579;44
124;311;PESTALOZZI;EM ;RUA SEVERIANO DAS CHAGAS;;SANTA CRUZ;ZONA OESTE;-22,91572;-43,67975;162;45
89;211;FRANCIS HIME;EM ;ESTRADA PAU DA FOME;196;TAQUARA;JACAREPAGUA;-22,91883;-43,41625;520;46
110;262;HERIVELTO MARTINS;CIEP ;PRACA SANTO ANASTACIO;;SENADOR VASCONCELOS;ZONA OESTE;-22,88649;-43,5288;221;47
116;052;PROFESSOR PAULO SILVA;EM ;RUA JAIRO CORREA;;INHOAIBA;ZONA OESTE;-22,90859;-43,58474;330;48
68;608;GRANDJEAN DE MONTIGNY;EM ;PRACA DOS UCRANIANOS;;PAVUNA;ZONA NORTE;-22,81389;-43,37393;260;49
114;534;CORA CORALINA;EM ;RUA VOTORANTIM KM DEZ MENDANHA;;CAMPO GRANDE;ZONA OESTE;-22,85878;-43,53705;157;50
111;616;PROFESSOR DARCI RIBEIRO;CIEP ;RUA CONCHAS;;CAMPO GRANDE;ZONA OESTE;-22,8873;-43,58736;372;51
115;342;FERNANDO COSTA;EM ;RUA JOSE ALBANO;;CAMPO GRANDE;ZONA OESTE;-22,89036;-43,59399;296;52
113;144;ALFREDO CESARIO ALVIM;EM ;RUA RIO DA PRATA RUA LUISA MARILAC;20;CAMPO GRANDE;ZONA OESTE;-22,92315;-43,51877;99;53
119;573;MAJOR MANUEL GOMES ARCHER;CIEP ;RUA CABO SAULO DE VASCONCELOS;;PACIENCIA;ZONA OESTE;-22,88855;-43,63805;207;54
112;320;PRESIDENTE ANTONIO CARLOS;COLEGIO MUNICIPAL ;RUA PEQUIA;97;COSMOS;ZONA OESTE;-22,91097;-43,61605;479;55
117;139;JESUS SOARES PEREIRA;EM ;RUA CONSOLACAO;138;CAMPO GRANDE;ZONA OESTE;-22,91959;-43,54684;316;56
122;319;MARECHAL PEDRO CAVALCANTI;EM ;RUA PORTO FIRME;;PACIENCIA;ZONA OESTE;-22,92485;-43,63289;537;57
118;323;ISMAEL NERY;CIEP ;AVENIDA CESARIO DE MELO;;SANTA CRUZ;ZONA OESTE;-22,93416;-43,66213;106;58
123;584;NELSON ROMERO;EM ;RUA JOSE BALDINO;;SEPETIBA;ZONA OESTE;-22,97174;-43,69735;342;59
96;080;JOSE MAURO DE VASCONCELOS;EM ;RUA MARLIERIA;;BANGU;GRANDE BANGU;-22,85044;-43,46686;599;60
87;202;PROFESSOR TEOFILO MOREIRA DA COSTA;EM ;RUA ESPERANCA;387;VARGEM GRANDE;BARRA DA TIJUCA;-22,98173;-43,49164;121;61
121;246;FERNANDO AZEVEDO;EM ;RUA DAS PALMEIRAS IMPERIAIS;;SANTA CRUZ;ZONA OESTE;-22,92306;-43,69233;459;62
120;560;ANDRE VIDAL DE NEGREIROS;EM ;RUA FELIPE CARDOSO;750;SANTA CRUZ;ZONA OESTE;-22,92139;-43,68058;308;63
88;550;25 DE ABRIL;EM ;RUA MAMORE;78;FREGUESIA (JACAREPAGUA);JACAREPAGUA;-22,93816;-43,34258;128;64
86;690;FINLANDIA;EM ;RUA IGARAPE-ACU;;CAMORIM;BARRA DA TIJUCA;-22,97199;-43,41011;94;65
85;414;CLAUDIO BESSERMAN VIANNA - BUSSUNDA;EM ;ESTRADA DE JACAREPAGUA;3327;JACAREPAGUA;JACAREPAGUA;-22,97336;-43,32916;26;66
84;528;MARGARET MEE;CIEP ;RUA MINISTRO ALIOMAR BALEEIRO;;RECREIO DOS BANDEIRANTES;BARRA DA TIJUCA;-23,01981;-43,48172;51;67
94;527;VIRGILIO VARZEA;EM ;RUA JOSE SILVA;155;PECHINCHA;JACAREPAGUA;-22,93253;-43,35113;179;68
109;255;FRANCISCO CAVALCANTE PONTES DE MIRANDA;CIEP ;ESTRADA MORICABA;;SENADOR VASCONCELOS;ZONA OESTE;-22,89821;-43,53599;591;69
108;399;CLEMENTINA DE JESUS;CIEP ;AVENIDA ALHAMBRA;;CAMPO GRANDE;ZONA OESTE;-22,92524;-43,57108;71;70
78;031;PARA;EM ;AVENIDA DOS ITALIANOS;500;ROCHA MIRANDA;ZONA NORTE;-22,85196;-43,34949;115;72
